14,1,7,16,3,11,8,12,2,9,17,19,18,5,6,13,4,15,10
NorthIdahoHomeseekers, AutoMob, Jake_Foster, YahooRealEstate, Autonet, buycars, Ryan_Eyers, igor, AutoNation, Xenia_Hertzenberg, newhomebuilders, SpaceForLease, RealEstate, Autopoint, Autoweb, yana, Autonet_ca, PlanetProperties, autochooser
1.000,0.915,0.908,0.639,0.895,0.875,0.882,0.905,0.857,0.894,0.742,0.792,0.656,0.837,0.847,0.896,0.842,0.733,0.849
0.915,1.000,0.857,0.868,0.670,0.755,0.891,0.878,0.726,0.880,0.914,0.855,0.904,0.795,0.779,0.828,0.802,0.920,0.790
0.908,0.857,1.000,0.882,0.851,0.902,0.614,0.699,0.922,0.553,0.920,0.859,0.911,0.933,0.912,0.669,0.900,0.923,0.936
0.639,0.868,0.882,1.000,0.843,0.870,0.845,0.873,0.822,0.863,0.714,0.690,0.571,0.851,0.839,0.880,0.855,0.773,0.863
0.895,0.670,0.851,0.843,1.000,0.755,0.842,0.862,0.725,0.885,0.891,0.831,0.881,0.781,0.765,0.869,0.727,0.888,0.760
0.875,0.755,0.902,0.870,0.755,1.000,0.882,0.889,0.712,0.909,0.900,0.785,0.875,0.750,0.738,0.909,0.716,0.855,0.778
0.882,0.891,0.614,0.845,0.842,0.882,1.000,0.626,0.888,0.620,0.892,0.818,0.882,0.916,0.878,0.701,0.849,0.902,0.920
0.905,0.878,0.699,0.873,0.862,0.889,0.626,1.000,0.909,0.699,0.918,0.819,0.908,0.922,0.887,0.685,0.884,0.922,0.937
0.857,0.726,0.922,0.822,0.725,0.712,0.888,0.909,1.000,0.911,0.868,0.830,0.881,0.614,0.588,0.922,0.627,0.870,0.673
0.894,0.880,0.553,0.863,0.885,0.909,0.620,0.699,0.911,1.000,0.905,0.837,0.896,0.924,0.900,0.679,0.898,0.912,0.916
0.742,0.914,0.920,0.714,0.891,0.900,0.892,0.918,0.868,0.905,1.000,0.816,0.696,0.778,0.804,0.906,0.872,0.811,0.829
0.792,0.855,0.859,0.690,0.831,0.785,0.818,0.819,0.830,0.837,0.816,1.000,0.744,0.855,0.844,0.857,0.820,0.714,0.902
0.656,0.904,0.911,0.571,0.881,0.875,0.882,0.908,0.881,0.896,0.696,0.744,1.000,0.857,0.887,0.910,0.882,0.800,0.870
0.837,0.795,0.933,0.851,0.781,0.750,0.916,0.922,0.614,0.924,0.778,0.855,0.857,1.000,0.673,0.922,0.685,0.873,0.653
0.847,0.779,0.912,0.839,0.765,0.738,0.878,0.887,0.588,0.900,0.804,0.844,0.887,0.673,1.000,0.920,0.633,0.859,0.672
0.896,0.828,0.669,0.880,0.869,0.909,0.701,0.685,0.922,0.679,0.906,0.857,0.910,0.922,0.920,1.000,0.899,0.922,0.935
0.842,0.802,0.900,0.855,0.727,0.716,0.849,0.884,0.627,0.898,0.872,0.820,0.882,0.685,0.633,0.899,1.000,0.873,0.684
0.733,0.920,0.923,0.773,0.888,0.855,0.902,0.922,0.870,0.912,0.811,0.714,0.800,0.873,0.859,0.922,0.873,1.000,0.862
0.849,0.790,0.936,0.863,0.760,0.778,0.920,0.937,0.673,0.916,0.829,0.902,0.870,0.653,0.672,0.935,0.684,0.862,1.000
